DATE,SP500,T10YFF,CORESTICKM159SFRBATL,PCE,JTSJOL
1972-02-01,.,2.7855000000000000,3.841502967,736.2,.
1972-03-01,.,2.2309090909090909,4.057916253,749.2,.
1972-04-01,.,2.0250000000000000,3.971403024,752.5,.
1972-05-01,.,1.8622727272727273,3.863863418,758.0,.
1972-06-01,.,1.6386363636363636,3.488589959,761.6,.
1972-07-01,.,1.5935000000000000,3.467340855,769.9,.
1972-08-01,.,1.3860869565217391,3.366129082,776.3,.
1972-09-01,.,1.7245000000000000,3.1247262,781.1,.
1972-10-01,.,1.3990000000000000,3.331141241,794.9,.
1972-11-01,.,1.2335000000000000,3.268535943,800.5,.
1972-12-01,.,1.03250000000000000000,3.147816809,806.1,.
1973-01-01,.,0.50909090909090909091,2.842802671,816.5,.
1973-02-01,.,0.09277777777777777778,2.881142745,825.8,.
1973-03-01,.,-0.33181818181818181818,2.929374136,832.8,.
1973-04-01,.,-0.46000000000000000000,3.031703085,835.7,.
1973-05-01,.,-0.97090909090909090909,3.175423207,841.6,.
1973-06-01,.,-1.5928571428571429,3.098743668,844.3,.
1973-07-01,.,-3.3014285714285714,3.013319714,854.1,.
1973-08-01,.,-3.0452173913043478,3.322713188,853.3,.
1973-09-01,.,-3.6221052631578947,3.944607922,869.2,.
1973-10-01,.,-3.1733333333333333,4.765238145,868.2,.
1973-11-01,.,-3.3800000000000000,4.927794502,876.9,.
1973-12-01,.,-3.1373684210526316,5.30805948,876.6,.
1974-01-01,.,-2.6409090909090909,5.845776926,884.5,.
1974-02-01,.,-2.0027777777777778,6.291538116,889.7,.
1974-03-01,.,-2.1266666666666667,6.816162733,901.4,.
1974-04-01,.,-2.9800000000000000,7.104721156,910.8,.
1974-05-01,.,-3.6886363636363636,7.728315605,922.4,.
1974-06-01,.,-4.3200000000000000,8.616369341,928.0,.
1974-07-01,.,-5.0745454545454545,9.526994824,937.9,.
1974-08-01,.,-3.9295454545454545,10.103211029,954.8,.
1974-09-01,.,-3.2675000000000000,10.593110106,955.1,.
1974-10-01,.,-2.1604545454545455,10.561468061,959.2,.
1974-11-01,.,-1.7188888888888889,10.985727169,956.2,.
1974-12-01,.,-0.99238095238095238095,11.496042915,961.8,.
1975-01-01,.,0.31545454545454545455,11.624378564,975.6,.
1975-02-01,.,1.2050000000000000,11.784135357,989.4,.
1975-03-01,.,2.2855000000000000,11.573788456,990.6,.
1975-04-01,.,2.7077272727272727,11.698351766,995.0,.
1975-05-01,.,2.8328571428571429,10.926931315,1018.9,.
1975-06-01,.,2.3328571428571429,10.432971739,1026.8,.
1975-07-01,.,1.9790909090909091,9.76743143,1039.8,.
1975-08-01,.,2.2719047619047619,8.920589927,1047.0,.
1975-09-01,.,2.2019047619047619,8.520421165,1054.8,.
1975-10-01,.,2.3227272727272727,8.109587525,1060.9,.
1975-11-01,.,2.8876470588235294,8.092959791,1075.8,.
1975-12-01,.,2.8004545454545455,7.685189103,1092.1,.
1976-01-01,.,2.9047619047619048,7.691042386,1107.1,.
1976-02-01,.,3.0366666666666667,7.373666255,1107.7,.
1976-03-01,.,2.8960869565217391,7.334813689,1114.9,.
1976-04-01,.,2.7195238095238095,6.847460223,1125.4,.
1976-05-01,.,2.6240000000000000,6.965887097,1122.7,.
1976-06-01,.,2.3818181818181818,6.871017008,1140.5,.
1976-07-01,.,2.5333333333333333,7.088593777,1149.6,.
1976-08-01,.,2.4704545454545455,7.352526572,1158.0,.
1976-09-01,.,2.3400000000000000,7.092183496,1168.8,.
1976-10-01,.,2.3995000000000000,6.878373933,1176.8,.
1976-11-01,.,2.3452631578947368,6.612229044,1189.0,.
1976-12-01,.,2.1913636363636364,6.196677638,1211.5,.
1977-01-01,.,2.5676190476190476,6.048908185,1215.0,.
1977-02-01,.,2.7021052631578947,6.05231412,1231.3,.
1977-03-01,.,2.7639130434782609,6.102888398,1238.3,.
1977-04-01,.,2.6460000000000000,6.580655715,1247.3,.
1977-05-01,.,2.1114285714285714,6.741041444,1257.1,.
1977-06-01,.,1.8781818181818182,6.920217354,1263.6,.
1977-07-01,.,1.9226315789473684,6.881150829,1280.5,.
1977-08-01,.,1.4956521739130435,6.832672177,1285.7,.
1977-09-01,.,1.1890476190476190,6.873489359,1294.5,.
1977-10-01,.,1.04900000000000000000,6.950144555,1311.4,.
1977-11-01,.,1.0905263157894737,6.999499128,1327.0,.
1977-12-01,.,1.1104761904761905,7.363992642,1336.0,.
1978-01-01,.,1.2166666666666667,7.371987718,1329.5,.
1978-02-01,.,1.2272222222222222,7.341035476,1355.1,.
1978-03-01,.,1.2327272727272727,7.433603181,1377.5,.
1978-04-01,.,1.2900000000000000,7.413807475,1396.4,.
1978-05-01,.,0.98333333333333333333,7.643491412,1412.0,.
1978-06-01,.,0.84409090909090909091,7.679164103,1425.8,.
1978-07-01,.,0.84150000000000000000,7.912838518,1426.8,.
1978-08-01,.,0.35304347826086956522,8.176594615,1447.0,.
1978-09-01,.,-0.04700000000000000000,8.576148162,1452.9,.
1978-10-01,.,-0.34285714285714285714,9.03646557,1466.9,.
1978-11-01,.,-0.96950000000000000000,9.211524761,1480.6,.
1978-12-01,.,-0.99250000000000000000,9.058012586,1496.5,.
1979-01-01,.,-0.95954545454545454545,9.070516336,1502.4,.
1979-02-01,.,-0.98333333333333333333,9.571356337,1517.8,.
1979-03-01,.,-0.96090909090909090909,9.675145162,1531.2,.
1979-04-01,.,-0.82950000000000000000,9.918953512,1538.4,.
1979-05-01,.,-0.97333333333333333333,10.082376559,1558.8,.
1979-06-01,.,-1.3752380952380952,10.269173247,1575.7,.
1979-07-01,.,-1.5352380952380952,10.50434739,1586.1,.
1979-08-01,.,-1.9130434782608696,10.93575743,1615.6,.
1979-09-01,.,-2.0442105263157895,10.98372295,1633.9,.
1979-10-01,.,-3.5145454545454545,11.257284188,1641.6,.
1979-11-01,.,-2.4857894736842105,11.926588317,1657.3,.
1979-12-01,.,-3.3830000000000000,12.734186684,1666.3,.
1980-01-01,.,-2.9163636363636364,13.469735746,1697.3,.
1980-02-01,.,-1.7521052631578947,13.599492679,1701.4,.
1980-03-01,.,-4.3538095238095238,14.331667424,1708.2,.
1980-04-01,.,-5.8457142857142857,14.755204998,1695.2,.
1980-05-01,.,-0.78000000000000000000,15.115272835,1700.1,.
1980-06-01,.,0.36285714285714285714,15.774166719,1718.8,.
1980-07-01,.,1.2600000000000000,14.133410238,1747.1,.
1980-08-01,.,1.6242857142857143,13.268359535,1763.8,.
1980-09-01,.,0.65714285714285714286,13.087752647,1780.5,.
1980-10-01,.,-1.03181818181818181818,13.084188753,1817.1,.
1980-11-01,.,-3.2058823529411765,12.870601808,1826.8,.
1980-12-01,.,-6.1140909090909091,12.685251999,1851.7,.
1981-01-01,.,-6.2919047619047619,12.018100571,1870.0,.
1981-02-01,.,-2.7472222222222222,11.229271193,1884.2,.
1981-03-01,.,-1.5809090909090909,10.319341471,1902.9,.
1981-04-01,.,-2.1661904761904762,9.710596634,1904.4,.
1981-05-01,.,-4.3115000000000000,9.603160634,1913.8,.
1981-06-01,.,-5.5436363636363636,9.212167638,1934.5,.
1981-07-01,.,-4.7845454545454545,11.238230349,1942.1,.
1981-08-01,.,-3.0623809523809524,11.81874206,1966.6,.
1981-09-01,.,-0.60285714285714285714,12.228963711,1965.5,.
1981-10-01,.,0.11904761904761904762,11.266251913,1963.9,.
1981-11-01,.,0.08055555555555555556,10.524035314,1970.6,.
1981-12-01,.,1.2754545454545455,9.855791699,1988.8,.
1982-01-01,.,1.3315000000000000,9.469843405,1997.1,.
1982-02-01,.,-0.31555555555555555556,9.539828014,2021.2,.
1982-03-01,.,-0.84521739130434782609,8.890430545,2024.1,.
1982-04-01,.,-1.0533333333333333,9.081124943,2026.3,.
1982-05-01,.,-0.94950000000000000000,9.052945034,2044.5,.
1982-06-01,.,0.15227272727272727273,8.878235542,2048.1,.
1982-07-01,.,1.4571428571428571,7.889386151,2072.2,.
1982-08-01,.,2.9386363636363636,7.329095724,2080.1,.
1982-09-01,.,1.9933333333333333,5.979568161,2104.6,.
1982-10-01,.,1.2180000000000000,5.978948458,2125.8,.
1982-11-01,.,1.3178947368421053,5.304532965,2149.3,.
1982-12-01,.,1.5186363636363636,4.248605204,2161.6,.
1983-01-01,.,1.8838095238095238,4.424606951,2174.0,.
1983-02-01,.,2.1684210526315789,4.356216055,2177.0,.
1983-03-01,.,1.6791304347826087,4.586331541,2202.8,.
1983-04-01,.,1.6160000000000000,4.187719488,2226.4,.
1983-05-01,.,1.7190476190476190,3.285270905,2245.9,.
1983-06-01,.,1.8322727272727273,2.582464401,2276.0,.
1983-07-01,.,2.0065000000000000,2.370321394,2304.4,.
1983-08-01,.,2.2847826086956522,2.293245829,2320.4,.
1983-09-01,.,2.2090476190476190,2.688915363,2334.9,.
1983-10-01,.,2.1170000000000000,2.837489986,2357.6,.
1983-11-01,.,2.3278947368421053,3.496604743,2366.3,.
1983-12-01,.,2.2880952380952381,4.455576949,2393.6,.
1984-01-01,.,2.0919047619047619,4.47100051,2419.4,.
1984-02-01,.,2.2215789473684211,4.509240951,2403.5,.
1984-03-01,.,2.4159090909090909,4.638826514,2431.6,.
1984-04-01,.,2.2845000000000000,4.632179596,2457.5,.
1984-05-01,.,2.9304545454545455,4.693964637,2474.5,.
1984-06-01,.,2.4800000000000000,4.773046608,2495.6,.
1984-07-01,.,2.0561904761904762,4.88156286,2494.6,.
1984-08-01,.,1.0634782608695652,5.017877611,2512.2,.
1984-09-01,.,1.2573684210526316,5.122410713,2533.8,.
1984-10-01,.,2.1586363636363636,5.086232886,2531.3,.
1984-11-01,.,2.1957894736842105,4.951399759,2571.4,.
1984-12-01,.,3.1325000000000000,5.03485707,2582.6,.
1985-01-01,.,2.9938095238095238,4.71440976,2618.8,.
1985-02-01,.,3.0261111111111111,4.860092398,2640.8,.
1985-03-01,.,3.3038095238095238,4.95037523,2648.5,.
1985-04-01,.,3.0947619047619048,4.742850309,2659.5,.
1985-05-01,.,2.8559090909090909,5.02421107,2696.4,.
1985-06-01,.,2.6430000000000000,5.042571195,2689.4,.
1985-07-01,.,2.4095454545454545,4.934458147,2715.7,.
1985-08-01,.,2.4168181818181818,4.931448285,2752.1,.
1985-09-01,.,2.4063157894736842,4.772256068,2794.7,.
1985-10-01,.,2.2113636363636364,4.87735108,2755.8,.
1985-11-01,.,1.7357894736842105,5.134382326,2771.1,.
1985-12-01,.,0.82476190476190476190,5.015425836,2811.3,.
1986-01-01,.,1.2114285714285714,5.280952944,2827.1,.
1986-02-01,.,0.83105263157894736842,5.109255446,2820.2,.
1986-03-01,.,0.24250000000000000000,5.212476107,2823.6,.
1986-04-01,.,0.25454545454545454545,5.352667382,2835.2,.
1986-05-01,.,0.83571428571428571429,5.024657147,2857.5,.
1986-06-01,.,0.84809523809523809524,5.026885723,2861.7,.
1986-07-01,.,0.74136363636363636364,4.960427947,2881.2,.
1986-08-01,.,0.99380952380952380952,4.823456322,2898.6,.
1986-09-01,.,1.5276190476190476,4.947499067,2971.8,.
1986-10-01,.,1.5645454545454545,4.881662479,2932.9,.
1986-11-01,.,1.1561111111111111,4.575152807,2928.4,.
1986-12-01,.,-0.10954545454545454545,4.654910621,2997.1,.
1987-01-01,.,0.89150000000000000000,4.492110038,2935.5,.
1987-02-01,.,1.1321052631578947,4.45173175,3001.7,.
1987-03-01,.,1.0950000000000000,4.276017854,3013.3,.
1987-04-01,.,1.5680952380952381,4.371203735,3038.8,.
1987-05-01,.,1.7850000000000000,4.429512321,3048.4,.
1987-06-01,.,1.6763636363636364,4.187984457,3072.8,.
1987-07-01,.,1.8631818181818182,4.178766144,3094.7,.
1987-08-01,.,2.0157142857142857,4.293051178,3130.8,.
1987-09-01,.,2.1342857142857143,4.305931321,3126.5,.
1987-10-01,.,2.2509523809523810,4.356981982,3134.5,.
1987-11-01,.,2.1857894736842105,4.329616016,3144.2,.
